Region and country of birth,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greece,949,"1,054","1,361","1,235","1,211","1,451","1,314","1,214","1,350",945
Grenada,579,671,687,633,525,585,544,501,554,307
Guatemala,"11,092","10,341","10,224","10,238","11,773","13,002","13,198","15,638","13,453","7,815"
Guinea,"1,555","1,656","1,518","1,375","1,389","1,501","1,348","1,282","1,579",858
Guinea-Bissau,29,47,43,30,39,37,48,27,51,27
Guyana,"6,599","5,683","5,897","6,267","5,543","5,771","5,468","5,165","5,385","3,027"
Haiti,"22,111","22,818","20,351","15,274","16,967","23,584","21,824","21,360","17,253","9,338"
Honduras,"6,133","6,884","8,898","8,156","9,274","13,302","11,387","13,794","15,901","8,277"
Hong Kong,"2,306","2,104","2,226","2,278","2,085","2,510","2,415","2,075","2,021","1,783"
Hungary,"1,044","1,054","1,052",996,"1,095","1,048",972,917,"1,070",761
Iceland,90,103,139,86,104,97,86,89,70,81
India,"69,013","66,434","68,458","77,908","64,116","64,687","60,394","59,821","54,495","46,363"
Indonesia,"2,856","2,603","2,731","2,139","2,084","2,129","1,914","1,756","1,899","1,428"
Iran,"14,822","12,916","12,863","11,615","13,114","13,298","13,791","10,116","6,640","8,805"
Iraq,"21,133","20,369","9,552","19,153","21,107","18,904","14,203","14,351","6,514","2,266"
Ireland,"1,371","1,514","1,626","1,605","1,607","1,759","1,485","1,401","1,760","1,466"
Israel,"3,826","4,153","3,996","3,805","3,965","4,142","3,802","3,706","4,304","3,687"
Italy,"2,443","2,673","2,960","3,298","3,544","4,078","3,655","3,329","3,822","3,184"
Jamaica,"19,662","20,705","19,400","19,026","17,642","23,350","21,905","20,347","21,689","12,826"
Japan,"6,161","6,061","5,925","5,545","5,395","5,207","4,635","4,317","4,503","3,905"
Jordan,"3,876","4,099","4,188","5,187","4,664","5,269","5,264","5,322","4,998","3,063"
Kazakhstan,"1,235","1,202","1,241","1,221","1,201","1,310","1,377","1,378","1,533","1,307"
Kenya,"7,762","7,043","6,123","5,884","5,602","6,274","6,957","7,190","7,052","4,026"
"Korea, North",36,49,48,142,55,47,32,41,29,28
"Korea, South","22,824","20,846","23,166","20,423","17,138","21,801","19,194","17,676","18,479","16,244"
Kosovo,670,782,839,758,814,"1,020","1,014",886,"1,020",678
Kuwait,973,"1,044",937,"1,057","1,055","1,186","1,177","1,090","1,201",768
Kyrgyzstan,542,648,652,707,790,847,715,908,881,594
Laos,956,949,923,806,917,856,685,863,850,486
Latvia,426,436,424,384,480,391,359,356,319,224
Lebanon,"3,295","2,879","2,783","3,245","2,813","2,971","2,818","2,581","2,605","2,120"
Lesotho,25,17,20,13,23,19,24,12,22,14
Liberia,"4,151","4,109","3,334","3,874","3,795","3,619","4,155","3,101","3,495","1,674"
Libya,357,315,376,524,734,642,780,499,511,514
Lithuania,936,924,854,747,750,735,645,658,750,475
Luxembourg,24,19,40,26,27,34,33,30,42,20
Macau,130,120,106,105,99,109,109,91,99,64
Madagascar,83,79,95,86,72,88,60,79,75,84
Malawi,123,192,159,172,160,205,228,257,213,197
Malaysia,"2,273","2,605","2,477","2,622","2,749","3,382","4,109","3,051","2,303","1,898"
Maldives,3,3,5,13,8,11,5,4,8,4
Mali,629,734,667,604,587,598,544,488,586,389
Malta,51,62,43,39,58,65,75,58,47,44
Marshall Islands,38,50,46,56,32,32,23,23,22,12
Mauritania,393,410,354,320,298,317,287,212,230,134
Mauritius,101,77,83,81,96,110,96,67,95,68
Mexico,"143,446","146,406","135,028","134,052","158,619","174,534","170,581","161,858","156,052","100,325"
"Micronesia, Federated States",9,13,4,5,6,11,6,19,21,15
Moldova,"2,258","2,021","2,485","2,341","2,496","2,929","2,480","2,206","1,935","1,367"
Monaco,6,5,8,8,10,11,14,13,7,8
Mongolia,774,691,729,651,644,750,661,636,765,543
Montenegro,204,265,265,289,251,387,323,299,376,303
Montserrat,30,27,-,38,14,14,12,20,24,12
Morocco,"4,399","3,656","3,336","3,605","3,710","4,586","4,229","3,077","3,721","2,866"
Mozambique,60,94,73,71,107,101,96,100,77,60
Namibia,43,59,57,44,86,87,130,75,98,90
Nepal,"10,166","11,312","13,046","12,357","12,926","12,851","11,610","11,953","10,201","7,847"
Netherlands,"1,085","1,091","1,142","1,195","1,309","1,319","1,056",998,"1,274",962
Netherlands Antilles (former),86,106,128,45,22,18,9,7,21,7
New Zealand,803,814,921,796,855,846,798,719,844,607
Nicaragua,"3,401","3,046","3,048","2,886","3,324","3,486","3,072","3,061","3,818","2,570"
Niger,96,48,37,71,55,119,116,93,201,139
Nigeria,"11,824","13,575","13,840","12,828","11,542","14,380","13,539","13,952","15,888","12,398"
North Macedonia,"1,078",906,895,960,"1,060","1,262","1,027","1,082","1,079",590
Norway,339,276,335,271,310,362,290,284,329,248
Oman,60,74,73,90,85,116,104,110,148,118
Pakistan,"15,546","14,740","13,251","18,612","18,057","19,313","17,408","15,802","13,921","10,474"
Palau,7,10,16,12,15,14,13,7,14,8
Panama,"1,374","1,281","1,234","1,095","1,052","1,029",889,897,"1,059",601
Papua New Guinea,20,21,27,18,11,23,18,27,24,19
Paraguay,500,467,448,391,382,434,391,389,452,256
Peru,"14,064","12,609","12,564","10,606","10,148","10,940","10,115","9,878","10,049","5,626"
Philippines,"57,011","57,327","54,446","49,996","56,478","53,287","49,147","47,258","45,920","25,491"
Poland,"6,863","6,300","6,430","5,689","5,275","5,603","4,845","4,357","4,700","3,341"
Portugal,821,811,918,892,857,"1,006",939,889,940,679
Qatar,193,141,191,202,229,272,224,236,287,215
Romania,"3,882","3,748","3,773","3,246","3,376","3,554","2,953","2,448","2,616","1,994"
