State or territory of residence,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total . . . . . . . . . . . . . . . . . . . . ..,"1,042,625","1,062,040","1,031,631","990,553","1,016,518","1,051,031","1,183,505","1,127,167","1,096,611","1,031,765"
Alabama . . . . . . . . . . . . . . . . . . ..,"3,740","4,063","3,873","3,848","3,685","3,928","4,736","3,801","3,737","3,669"
Alaska . . . . . . . . . . . . . . . . . . . . ..,"1,703","1,799","1,612","1,460","1,505","1,572","1,726","1,547","1,375","1,374"
Arizona . . . . . . . . . . . . . . . . . . . ..,"18,243","20,333","18,434","16,097","16,908","17,997","20,694","19,344","18,335","18,181"
Arkansas . . . . . . . . . . . . . . . . . . ..,"2,684","2,874","2,795","2,900","2,793","2,814","3,158","3,071","3,000","2,915"
California . . . . . . . . . . . . . . . . . . ..,"208,446","210,591","196,622","191,806","198,379","209,568","223,141","214,243","200,897","193,093"
Colorado . . . . . . . . . . . . . . . . . . ..,"12,489","13,547","13,327","11,108","10,872","12,661","14,225","14,520","13,913","13,558"
Connecticut . . . . . . . . . . . . . . . . ..,"12,222","12,577","12,237","10,985","11,252","11,102","12,669","11,938","11,629","10,630"
Delaware . . . . . . . . . . . . . . . . . . ..,"2,198","2,355","2,208","2,325","2,085","2,168","2,204","2,244","1,831","2,084"
District of Columbia . . . . . . . . . . ..,"2,897","2,724","2,811","2,981","3,169","2,976","3,114","2,885","2,775","2,398"
Florida . . . . . . . . . . . . . . . . . . . . ..,"107,276","109,229","103,047","102,939","109,310","118,873","136,337","127,609","130,405","118,140"
Georgia . . . . . . . . . . . . . . . . . . . ..,"24,833","27,015","26,134","24,387","23,792","25,919","29,572","26,242","26,725","27,246"
Guam . . . . . . . . . . . . . . . . . . . . ..,"1,383","1,313","1,430","1,210","1,089","1,249","1,147","1,107","1,231","1,011"
Hawaii . . . . . . . . . . . . . . . . . . . . ..,"7,037","7,296","6,764","6,226","5,741","6,513","6,285","5,396","5,430","4,917"
Idaho . . . . . . . . . . . . . . . . . . . . ..,"2,556","2,602","2,428","2,120","2,202","2,531","2,562","2,709","2,728","2,312"
Illinois . . . . . . . . . . . . . . . . . . . . ..,"37,909","38,325","38,373","35,988","36,535","40,482","43,207","40,530","38,287","37,958"
Indiana . . . . . . . . . . . . . . . . . . . ..,"8,539","8,262","8,359","7,668","8,008","8,554","9,946","10,052","9,741","8,527"
Iowa . . . . . . . . . . . . . . . . . . . . . ..,"4,245","4,624","4,679","4,105","4,225","5,047","5,299","5,577","5,484","5,534"
Kansas . . . . . . . . . . . . . . . . . . . ..,"5,501","5,086","4,980","5,000","4,861","5,419","5,709","5,703","5,630","5,139"
Kentucky . . . . . . . . . . . . . . . . . . ..,"4,930","5,403","5,243","5,159","5,634","5,647","7,098","7,537","8,734","6,006"
Louisiana. . . . . . . . . . . . . . . . . . . .,"4,397","4,226","4,454","4,355","4,382","4,696","5,784","4,688","4,889","5,116"
Maine . . . . . . . . . . . . . . . . . . . . ..,"1,349","1,467","1,497","1,208","1,382","1,464","1,748","1,594","1,749","1,361"
Maryland . . . . . . . . . . . . . . . . . . ..,"26,450","25,778","24,971","25,361","24,787","22,627","26,077","25,095","24,301","22,304"
Massachusetts . . . . . . . . . . . . . ..,"31,069","32,236","31,392","29,482","29,776","28,535","35,706","37,010","33,174","30,834"
Michigan . . . . . . . . . . . . . . . . . . ..,"18,579","18,347","17,494","16,952","18,185","18,049","22,569","18,927","19,850","17,414"
Minnesota . . . . . . . . . . . . . . . . . ..,"12,408","12,389","12,999","12,781","13,764","14,737","15,603","16,009","16,721","13,833"
Mississippi . . . . . . . . . . . . . . . . ..,"1,709","1,666","1,583","1,716","1,587","1,587","2,149","1,793","1,643","1,687"
Missouri . . . . . . . . . . . . . . . . . . ..,"7,151","7,048","6,635","6,345","6,419","6,731","6,868","7,707","7,638","6,900"
Montana . . . . . . . . . . . . . . . . . . ..,457,511,503,445,451,519,566,529,565,545
Nebraska . . . . . . . . . . . . . . . . . . ..,"4,400","4,535","4,384","4,141","4,442","5,234","5,654","5,327","6,500","4,279"
Nevada . . . . . . . . . . . . . . . . . . . ..,"10,803","10,449","10,343","9,886","10,089","11,053","11,555","12,733","10,851","11,718"
New Hampshire . . . . . . . . . . . . . ..,"2,556","2,478","2,466","2,227","2,103","2,159","2,332","2,279","2,200","2,046"
New Jersey . . . . . . . . . . . . . . . . ..,"56,920","55,547","50,790","53,082","51,609","49,801","56,187","54,440","54,424","48,754"
New Mexico . . . . . . . . . . . . . . . . ..,"3,528","3,767","3,714","3,664","3,359","3,626","4,104","4,002","4,296","3,736"
New York . . . . . . . . . . . . . . . . . . ..,"147,999","148,426","149,505","133,601","141,406","130,010","159,878","139,409","134,839","124,026"
North Carolina . . . . . . . . . . . . . . ..,"16,112","17,571","17,487","16,798","17,152","18,495","20,811","21,184","20,838","18,419"
North Dakota . . . . . . . . . . . . . . . ..,"1,058",948,"1,144","1,234","1,351","1,600","1,595","1,471","1,674","1,494"
Ohio . . . . . . . . . . . . . . . . . . . . . ..,"13,585","13,857","13,948","13,819","14,641","16,050","17,251","16,894","18,809","16,467"
Oklahoma . . . . . . . . . . . . . . . . . ..,"4,627","4,503","4,646","4,648","4,441","4,880","5,960","5,535","5,938","4,642"
Oregon . . . . . . . . . . . . . . . . . . . ..,"7,997","7,694","7,791","7,171","7,379","8,655","10,033","9,221","9,679","8,521"
Pennsylvania . . . . . . . . . . . . . . . ..,"24,130","25,397","25,032","24,720","23,944","24,969","27,217","27,762","26,078","25,329"
Puerto Rico . . . . . . . . . . . . . . . . ..,"4,283","3,288","3,106","2,942","2,709","3,322","3,581","3,298","3,062","2,555"
Rhode Island . . . . . . . . . . . . . . . ..,"4,027","3,681","3,798","3,337","3,297","3,610","4,194","4,102","4,336","3,445"
South Carolina . . . . . . . . . . . . . . ..,"4,401","4,216","3,924","4,266","4,233","4,417","5,104","5,027","5,078","4,675"
South Dakota . . . . . . . . . . . . . . . ..,987,"1,337","1,521","1,231","1,108","1,265","1,229","1,017","1,132","1,199"
Tennessee . . . . . . . . . . . . . . . . . ..,"8,156","8,279","8,573","8,380","8,507","8,833","10,032","9,793","9,590","9,507"
Texas . . . . . . . . . . . . . . . . . . . . ..,"87,750","94,481","95,557","92,674","95,295","99,727","110,651","110,126","104,515","107,955"
Utah . . . . . . . . . . . . . . . . . . . . . ..,"6,085","6,426","5,932","5,503","6,166","6,883","7,271","6,390","5,723","6,838"
Vermont . . . . . . . . . . . . . . . . . . . ..,867,943,877,838,791,792,886,787,824,648
Virginia . . . . . . . . . . . . . . . . . . . ..,"28,607","27,767","28,227","27,861","28,477","27,622","29,242","29,466","27,426","24,784"
Washington . . . . . . . . . . . . . . . . ..,"22,283","23,789","23,060","22,994","22,710","24,765","27,304","27,363","26,029","25,570"
West Virginia . . . . . . . . . . . . . . . ..,729,830,779,760,783,786,928,776,675,817
Wisconsin . . . . . . . . . . . . . . . . . ..,"6,189","6,245","6,049","5,918","5,997","6,655","7,111","6,681","7,433","7,138"
Wyoming . . . . . . . . . . . . . . . . . . ..,452,420,427,522,414,539,462,444,409,410
Other1 . . . . . . . . . . . . . . . . . . . . ..,"1,694","1,480","1,667","1,379","1,336","1,116","1,225","1,413","1,212","1,295"
Unknown . . . . . . . . . . . . . . . . . . ..,-,-,-,-,1,202,"1,809",820,624,812
