"Number of Service-wide Forms Fiscal Year To- Date By Quarter and Form Status
Fiscal Year 2020",,,,,,,,,,,,,,,,,,,,,,,
Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,Description,1st Quarter,,,,2nd Quarter,,,,3rd Quarter,,,,,4th Quarter,,,,Fiscal Year 2020 To-Date,,,,
,,"Forms
Received",Approved,Denied,Pending,"Forms
Received",Approved,Denied,Pending,"Forms
Received",Approved,,Denied,Pending,"Forms
Received",Approved,Denied,Pending,"Forms
Received",Approved,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL FORMS,,"1,926,497","1,643,922","256,151","5,759,297","1,904,468","1,729,075","262,947","5,767,232","1,655,078","1,597,709",,"178,222","5,729,535",,,,,"5,486,043","4,970,706",,,
,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,
I-899 9,Record of Determination/Reasonable Fear Worksheet,"2,640",385,"1,131",204,"3,304",349,"1,133",145,"1,504",157,,599,111,,,,,"7,448",891,,,
I-914 10,Application for T Nonimmigrant Status,567,532,382,"3,927",589,469,335,"3,812",449,551,,312,"3,444",,,,,"1,605","1,552",,,
I-918 11,Petition for U Nonimmigrant Status,"9,830","6,144","1,588","257,837","5,863","6,672","1,624","257,104","8,465","3,619",,971,"261,130",,,,,"24,153","16,435",,,
I-929,Petition for Qualifying Family Member of a U-1 Nonimmigrant,262,227,39,"1,030",209,182,28,"1,012",210,112,,31,"1,085",,,,,681,521,,,
Citizenship and Nationality,,,,,,,,,,,,,,,,,,,,,,,
N-300,Application to File Declaration of Intention,D,D,-,92,D,D,-,D,D,-,,-,17,,,,,14,11,,,
N-336,Req. for a Hearing on a Decision in Natz. Proceedings (Under Sect. 336 of the INA),"1,523",723,489,"6,363","1,525",917,635,"6,324","1,213",386,,288,"6,877",,,,,"4,261","2,026",,,
N-400,Application for Naturalization (Military),"1,124","1,188",118,"3,417","1,280","1,174",130,"3,653","1,305",623,,57,"4,400",,,,,"3,709","2,985",,,
N-400,Application for Naturalization,"243,748","217,953","23,544","648,950","237,900","188,446","27,843","697,232","152,668","78,008",,"11,462","740,294",,,,,"634,316","484,407",,,
N-470,Application to Preserve Residence for Naturalization Purposes,21,24,-,80,24,27,19,66,20,D,,D,99,,,,,65,52,,,
N-565,Application for Replacement Naturalization/Citizenship Document,"6,845","5,452",665,"7,893","7,519","6,087",568,"8,941","4,240","5,003",,297,"7,878",,,,,"18,604","16,542",,,
N-600 12,Application for Certificate of Citizenship,"16,602","12,839","1,080","41,201","15,713","12,184","1,157","44,487","8,625","10,281",,"1,017","45,197",,,,,"40,940","35,304",,,
N-644,Application for Posthumous Citizenship,-,-,-,-,-,-,-,-,-,-,,-,-,,,,,-,-,,,
N-648,Medical Certification for Disability Exceptions,-,-,-,-,-,-,-,-,-,-,,-,-,,,,,-,-,,,
Other,,,,,,,,,,,,,,,,,,,,,,,
I-90,Application to Replace Permanent Resident Card,"148,031","124,626","9,295","499,404","199,300","180,051","11,109","508,800","168,526","269,147",,"13,693","397,449",,,,,"515,857","573,824",,,
I-102,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,"1,340","1,093",302,"1,937","1,057",913,346,"1,823",737,420,,139,"2,039",,,,,"3,134","2,426",,,
I-131,Application for Travel Document,"20,291","21,069","1,582","22,000","20,429","22,239","1,896","21,534","7,444","11,384",,"1,005","16,664",,,,,"48,164","54,692",,,
I-131,Application for Travel Document (Advance Parole),"108,136","82,377","29,907","148,176","100,594","89,747","19,679","138,871","64,490","78,862",,"11,666","145,081",,,,,"273,220","250,986",,,
I-131,Application for Travel Document (Parole-in-Place),"2,517","1,341",337,"2,228","2,604","1,357",394,"1,958","1,573",949,,282,"1,823",,,,,"6,694","3,647",,,
I-193,Application for Waiver of Passport and/or Visa,D,24,16,655,D,37,11,529,D,15,,D,510,,,,,19,76,,,
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","10,649","13,004","1,128","52,743","10,469","17,687","1,649","43,611","6,795","13,446",,"1,131","36,023",,,,,"27,913","44,137",,,
I-485,Application to Register Permanent Residence or Adjust Status (Other),"6,955","6,377","1,019","28,827","6,273","6,372","1,040","28,861","5,675","4,916",,555,"29,272",,,,,"18,903","17,665",,,
I-539,Application To Extend/Change Nonimmigrant Status,"56,604","44,725","9,857","100,842","76,921","54,604","11,480","105,295","172,692","34,626",,"6,807","248,555",,,,,"306,217","133,955",,,
I-824,Application for Action on an Approved Application or Petition,"2,605","1,900",476,"7,431","2,503","2,658",536,"5,913","1,831","2,137",,339,"5,416",,,,,"6,939","6,695",,,
Waivers 13,Waivers,"17,026","11,372","3,738","217,292","14,488","12,994","4,242","210,446","13,550","10,898",,"3,856","209,164",,,,,"45,064","35,264",,,
I-290B,Notice of Appeal or Motion,"9,117","3,680","3,127","15,471","8,386","4,267","3,748","15,151","8,120","4,009",,"3,720","15,433",,,,,"25,623","11,956",,,
Supplemental Processing,,,,,,,,,,,,,,,,,,,,,,,
"DS-230 (IV)
EOIR Adjustment",Immigrant Visas,"117,639","100,009",,"50,302","101,905","113,089",,"39,118","23,905","72,502",,,"23,234",,,,,"243,449","285,600",,,
,EOIR Adjustment,"14,411","14,276",-,"16,558","12,476","12,355",-,"13,158","5,954","5,898",,-,"9,433",,,,,"32,841","32,529",,,
