Label (Grouping),2010 or later,2000 to 2009,Before 2000
        Never married,3488317,3234679,3345037
"        Now married, except separated",5232476,6274629,14404138
        Divorced or separated,571855,1038559,3208505
        Widowed,238273,270458,1797673
