Label (Grouping),2010 or later,2000 to 2009,Before 2000
        Less than high school graduate,617835,424745,215797
        High school graduate (includes equivalency),640244,355241,174474
        Some college or associate's degree,489787,267203,156109
        Bachelor's degree,800305,284193,125499
        Graduate or professional degree,656250,214689,93359
