Label (Grouping),2010 or later,2000 to 2009,Before 2000
        In labor force,6317065,8056890,14290361
            Civilian labor force,6298265,8024706,14267606
                Employed,5988052,7745772,13835254
                Unemployed,310213,289662,432352
                    Percent of civilian labor force,470020,386216,705416
            Armed Forces,18801,32185,22755
        Not in labor force,3083330,2671326,8464991
