Label (Grouping),2010 or later,2000 to 2009,Before 2000
"        Nursery school, preschool",99238,0,0
        Elementary school (grades K-8),1181250,169898,7652
        High school (grades 9-12),569817,444824,55097
        College or graduate school,1350915,929805,702488
