Label (Grouping),2010 or later,2000 to 2009,Before 2000
Europe,891372,860761,2912685
Asia,4323154,3233372,6553541
Africa,1013936,739372,728171
Oceania,100279,77248,113777
Latin America,4623992,5992222,11969315
Northern America,189417,132425,477862
