Label (Grouping),2010 or later,2000 to 2009,Before 2000
"Management, business, science, and arts occupations",2190121,2500270,4840423
Service occupations,1388273,1942934,2959573
Sales and office occupations,807831,1060486,2143616
"Natural resources, construction, and maintenance occupations",694137,1114671,1645744
"Production, transportation, and material moving occupations",903574,1122412,2240424
