Label (Grouping),2010 or later,2000 to 2009,Before 2000
            White,4378865,4855576,11104612
            Black or African American,1348200,1158717,1820428
            American Indian and Alaska Native,33426,44142,91021
            Asian,3621198,2847133,5757104
            Native Hawaiian and Other Pacific Islander,55711,44142,68266
            Some other race,1370484,1842912,3390547
